date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:41:02;0.2;0.0;0.0;97.2;0.0;0.0;2.5
2023-10-25;14:41:03;0.0;0.0;0.8;96.2;0.0;0.0;3.0
2023-10-25;14:41:04;0.0;0.0;0.0;96.5;0.0;0.0;3.5
2023-10-25;14:41:05;0.2;0.0;0.0;98.2;0.0;0.0;1.5
2023-10-25;14:41:06;0.8;0.0;1.0;95.8;0.2;0.0;2.2
2023-10-25;14:41:07;0.5;0.0;0.0;96.8;0.0;0.0;2.8
2023-10-25;14:41:08;0.2;0.0;0.0;96.5;0.0;0.0;3.2
2023-10-25;14:41:09;1.2;0.0;0.8;95.8;0.0;0.0;2.2
2023-10-25;14:41:10;0.0;0.0;0.2;97.2;0.0;0.0;2.5
2023-10-25;14:41:11;0.8;0.2;1.5;94.8;0.0;0.0;2.8
2023-10-25;14:41:12;0.2;0.0;0.2;97.3;0.0;0.0;2.2
2023-10-25;14:41:13;0.5;0.0;0.8;97.0;0.0;0.0;1.8
2023-10-25;14:41:14;0.0;0.0;0.5;99.2;0.0;0.0;0.2
2023-10-25;14:41:15;0.2;0.0;0.0;96.8;0.0;0.0;3.0
2023-10-25;14:41:16;0.5;0.0;0.8;91.2;0.5;0.0;7.0
2023-10-25;14:41:17;0.2;0.0;0.2;96.8;0.0;0.0;2.8
2023-10-25;14:41:18;0.0;0.0;0.8;96.8;0.0;0.0;2.5
2023-10-25;14:41:19;0.5;0.0;0.2;97.2;0.0;0.0;2.0
2023-10-25;14:41:20;0.0;0.0;0.2;96.2;0.0;0.0;3.5
2023-10-25;14:41:21;0.0;0.0;0.0;95.8;0.2;0.0;4.0
2023-10-25;14:41:22;0.5;0.0;0.2;95.2;0.0;0.0;4.0
2023-10-25;14:41:23;0.5;0.0;0.0;92.2;0.0;0.0;7.2
2023-10-25;14:41:24;0.0;0.0;0.5;93.5;0.0;0.0;6.0
2023-10-25;14:41:25;0.0;0.0;0.2;93.8;0.0;0.0;6.0
2023-10-25;14:41:26;0.8;0.8;1.2;93.2;0.0;0.0;4.0
2023-10-25;14:41:27;0.0;0.0;0.7;93.8;0.0;0.0;5.4
2023-10-25;14:41:28;0.0;0.0;0.5;96.0;0.0;0.0;3.5
2023-10-25;14:41:29;0.0;0.0;0.5;97.5;0.0;0.0;2.0
2023-10-25;14:41:30;0.2;0.0;0.2;96.8;0.0;0.0;2.8
2023-10-25;14:41:31;0.0;0.0;0.5;95.2;0.5;0.0;3.8
2023-10-25;14:41:32;0.0;0.0;0.2;96.8;0.0;0.0;3.0
2023-10-25;14:41:33;0.8;0.0;0.5;95.0;0.0;0.0;3.8
2023-10-25;14:41:34;0.0;0.0;0.2;95.5;0.0;0.0;4.2
2023-10-25;14:41:35;0.2;0.0;0.0;94.8;0.0;0.0;5.0
2023-10-25;14:41:36;0.2;0.2;1.0;95.8;0.0;0.0;2.8
2023-10-25;14:41:37;0.0;0.0;0.5;96.5;0.0;0.0;3.0
2023-10-25;14:41:38;0.0;0.0;0.2;97.5;0.0;0.0;2.2
2023-10-25;14:41:39;0.0;0.0;0.2;97.8;0.0;0.0;2.0
2023-10-25;14:41:40;0.2;0.0;0.0;97.0;0.0;0.0;2.8
2023-10-25;14:41:41;0.5;0.2;1.8;95.0;0.0;0.0;2.5
2023-10-25;14:41:42;0.0;0.0;0.2;97.5;0.0;0.0;2.2
